Id,TaskId,ProjectId,UserId,UserDiscipline,ProjectRule,TSDate,TSHour,Adjustments,AutoLoad
151273,4636,PRO-132-ARSPAR-01,221,Architecture,Member,12/2/2021,2,0,6/13/2022 13:58
151274,4636,PRO-132-ARSPAR-01,221,Architecture,Member,12/6/2021,5,0,6/13/2022 13:58
151275,4636,PRO-132-ARSPAR-01,221,Architecture,Member,12/7/2021,7,0,6/13/2022 13:58
151276,4636,PRO-132-ARSPAR-01,221,Architecture,Member,12/8/2021,7,0,6/13/2022 13:58
151277,4636,PRO-132-ARSPAR-01,221,Architecture,Member,12/9/2021,7,0,6/13/2022 13:58
151278,4636,PRO-132-ARSPAR-01,221,Architecture,Member,12/10/2021,5,0,6/13/2022 13:58
151279,4636,PRO-132-ARSPAR-01,221,Architecture,Member,12/13/2021,5,0,6/13/2022 13:58
151280,4636,PRO-132-ARSPAR-01,221,Architecture,Member,12/14/2021,2,0,6/13/2022 13:58
151281,4636,PRO-132-ARSPAR-01,221,Architecture,Member,12/15/2021,3,0,6/13/2022 13:58
151282,4636,PRO-132-ARSPAR-01,221,Architecture,Member,12/16/2021,3,0,6/13/2022 13:58
151283,4636,PRO-132-ARSPAR-01,221,Architecture,Member,12/17/2021,2,0,6/13/2022 13:58
151284,4636,PRO-132-ARSPAR-01,221,Architecture,Member,12/20/2021,4,0,6/13/2022 13:58
151285,4636,PRO-132-ARSPAR-01,221,Architecture,Member,12/21/2021,1,0,6/13/2022 13:58
151286,4636,PRO-132-ARSPAR-01,221,Architecture,Member,12/22/2021,1,0,6/13/2022 13:58
151287,4636,PRO-132-ARSPAR-01,221,Architecture,Member,12/23/2021,3,0,6/13/2022 13:58
151288,4636,PRO-132-ARSPAR-01,221,Architecture,Member,12/24/2021,6,0,6/13/2022 13:58
151289,4636,PRO-132-ARSPAR-01,221,Architecture,Member,3/2/2022,8,0,6/13/2022 13:58
151290,4636,PRO-132-ARSPAR-01,221,Architecture,Member,3/10/2022,4,0,6/13/2022 13:58
151291,4641,PRO-124-ATL-01,169,Architecture,Leader,6/11/2021,1,0,6/13/2022 13:58
151292,4641,PRO-124-ATL-01,169,Architecture,Leader,6/14/2021,10,0,6/13/2022 13:58
151293,4641,PRO-124-ATL-01,169,Architecture,Leader,6/15/2021,9.5,0,6/13/2022 13:58
151294,4641,PRO-124-ATL-01,169,Architecture,Leader,6/16/2021,11,0,6/13/2022 13:58
151295,4641,PRO-124-ATL-01,169,Architecture,Leader,6/17/2021,11,0,6/13/2022 13:58
151296,4641,PRO-124-ATL-01,169,Architecture,Leader,6/18/2021,11,0,6/13/2022 13:58
151297,4642,PRO-124-ATL-01,169,Architecture,Leader,6/21/2021,10,0,6/13/2022 13:58
151298,4642,PRO-124-ATL-01,169,Architecture,Leader,6/22/2021,11,0,6/13/2022 13:58
151299,4643,PRO-124-ATL-01,169,Architecture,Leader,6/23/2021,12,0,6/13/2022 13:58
151300,4643,PRO-124-ATL-01,169,Architecture,Leader,6/24/2021,10,0,6/13/2022 13:58
151301,4644,PRO-124-ATL-01,169,Architecture,Leader,6/25/2021,7,0,6/13/2022 13:58
151302,4644,PRO-124-ATL-01,169,Architecture,Leader,6/26/2021,5,0,6/13/2022 13:58
151303,4644,PRO-124-ATL-01,169,Architecture,Leader,6/28/2021,8,0,6/13/2022 13:58
151304,4644,PRO-124-ATL-01,169,Architecture,Leader,6/29/2021,4,0,6/13/2022 13:58
151305,4648,PRO-124-ATL-01,169,Architecture,Leader,6/29/2021,3,0,6/13/2022 13:58
151306,4648,PRO-124-ATL-01,169,Architecture,Leader,6/30/2021,8,0,6/13/2022 13:58
151307,4657,PRO-124-ATL-01,213,RnD,Member,6/14/2021,3,0,6/13/2022 13:58
151308,4657,PRO-124-ATL-01,213,RnD,Member,6/15/2021,3,0,6/13/2022 13:58
151309,4657,PRO-124-ATL-01,213,RnD,Member,6/21/2021,5,0,6/13/2022 13:58
151310,4657,PRO-124-ATL-01,213,RnD,Member,6/22/2021,2,0,6/13/2022 13:58
151311,4657,PRO-124-ATL-01,213,RnD,Member,6/23/2021,5,0,6/13/2022 13:58
151312,4638,PRO-124-ATL-01,219,MEP,Member,6/15/2021,5,0,6/13/2022 13:58
151313,4638,PRO-124-ATL-01,219,MEP,Member,6/16/2021,5,0,6/13/2022 13:58
151314,4638,PRO-124-ATL-01,219,MEP,Member,6/17/2021,5,0,6/13/2022 13:58
151315,4638,PRO-124-ATL-01,219,MEP,Member,6/18/2021,6,0,6/13/2022 13:58
151316,4639,PRO-124-ATL-01,219,MEP,Member,6/21/2021,6,0,6/13/2022 13:58
151317,4639,PRO-124-ATL-01,219,MEP,Member,6/22/2021,7,0,6/13/2022 13:58
151318,4640,PRO-124-ATL-01,219,MEP,Member,6/23/2021,10,0,6/13/2022 13:58
151319,4640,PRO-124-ATL-01,219,MEP,Member,6/24/2021,8,0,6/13/2022 13:58
